epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,145.801,1.01684,1.87446,2.12847,1.05435,0,0.98417,0.22441,0.34676,0.20893,0.98417,0.22441,0.32212,0.20281,1.09282,1.7716,2.55308,1.10353,0,0.00077975,0.00077975,0.00077975
40,149.486,0.96384,1.73229,1.80023,1.01858,0,0.98417,0.22441,0.34676,0.20893,0.98417,0.22441,0.32212,0.20281,1.09282,1.7716,2.55308,1.10353,0,0.000767375,0.000767375,0.000767375
41,153.178,0.96163,1.63526,1.78082,1.00781,0,0.88412,0.23152,0.35471,0.2348,0.88412,0.23152,0.3228,0.21415,1.16498,1.82061,2.47261,1.12427,0,0.000755,0.000755,0.000755
42,156.229,1.00339,1.80221,1.90043,1.05527,0,0.88412,0.23152,0.35471,0.2348,0.88412,0.23152,0.3228,0.21415,1.16498,1.82061,2.47261,1.12427,0,0.000742625,0.000742625,0.000742625
43,159.434,1.04301,1.79145,1.8887,1.04021,0,0.86935,0.22549,0.34051,0.21971,0.86935,0.22549,0.31313,0.21065,1.07704,1.81241,2.50914,1.08417,0,0.00073025,0.00073025,0.00073025
44,163.032,0.94969,1.68867,1.99963,1.04028,0,0.86929,0.2402,0.34729,0.20976,0.86929,0.2402,0.31671,0.20463,1.02814,1.74795,2.59282,1.06875,0,0.000717875,0.000717875,0.000717875
45,167.397,0.95863,1.58125,1.81672,1.03089,0,0.86929,0.2402,0.34729,0.20976,0.86929,0.2402,0.31671,0.20463,1.02814,1.74795,2.59282,1.06875,0,0.0007055,0.0007055,0.0007055
46,170.665,0.95488,1.74811,1.85369,1.01334,0,0.89018,0.2402,0.33371,0.19799,0.89018,0.2402,0.31362,0.20651,1.09323,1.6695,2.6031,1.09262,0,0.000693125,0.000693125,0.000693125
47,173.527,1.00699,1.7096,1.89389,1.02603,0,0.84387,0.2402,0.31261,0.1758,0.84387,0.2402,0.29693,0.19151,1.2015,1.66854,2.6251,1.11808,0,0.00068075,0.00068075,0.00068075
48,177.624,0.95301,1.70558,1.94437,1.001,0,0.84387,0.2402,0.31261,0.1758,0.84387,0.2402,0.29693,0.19151,1.2015,1.66854,2.6251,1.11808,0,0.000668375,0.000668375,0.000668375
49,182.073,0.93714,1.50115,1.75754,0.97896,0,0.84325,0.2402,0.3141,0.17603,0.84325,0.2402,0.29838,0.19347,1.18508,1.73863,2.48264,1.11988,0,0.000656,0.000656,0.000656
50,185.414,0.94695,1.63993,1.85976,0.99211,0,0.84325,0.2402,0.3141,0.17603,0.84325,0.2402,0.29838,0.19347,1.18508,1.73863,2.48264,1.11988,0,0.000643625,0.000643625,0.000643625
51,188.573,0.93488,1.62774,1.7944,0.99519,0,0.82149,0.2402,0.31532,0.18361,0.82149,0.2402,0.30217,0.19178,1.09527,1.72157,2.43521,1.1272,0,0.00063125,0.00063125,0.00063125
52,191.237,0.91412,1.5793,1.88378,1.02695,0,0.80399,0.2549,0.31678,0.18618,0.80399,0.2549,0.29937,0.19194,1.07364,1.6681,2.38625,1.14426,0,0.000618875,0.000618875,0.000618875
53,196.376,0.85878,1.47169,1.62872,0.96643,0,0.80399,0.2549,0.31678,0.18618,0.80399,0.2549,0.29937,0.19194,1.07364,1.6681,2.38625,1.14426,0,0.0006065,0.0006065,0.0006065
54,199.9,0.92596,1.59911,1.85511,1.01461,0,0.76896,0.26961,0.30775,0.19756,0.76896,0.26961,0.29037,0.18644,1.087,1.74368,2.4036,1.1405,0,0.000594125,0.000594125,0.000594125
55,202.977,0.90914,1.47434,1.69061,1.02007,0,0.76109,0.22549,0.30206,0.18781,0.76109,0.22549,0.28585,0.18834,1.10893,1.73898,2.41788,1.12651,0,0.00058175,0.00058175,0.00058175
56,206.203,0.9085,1.54752,1.79685,0.99658,0,0.76109,0.22549,0.30206,0.18781,0.76109,0.22549,0.28585,0.18834,1.10893,1.73898,2.41788,1.12651,0,0.000569375,0.000569375,0.000569375
57,210.784,0.89534,1.54374,1.91031,1.00556,0,0.77373,0.22895,0.29682,0.18889,0.77373,0.22895,0.28257,0.18069,1.09442,1.65736,2.4037,1.11951,0,0.000557,0.000557,0.000557
58,213.976,0.89612,1.54798,1.73465,0.98944,0,0.77373,0.22895,0.29682,0.18889,0.77373,0.22895,0.28257,0.18069,1.09442,1.65736,2.4037,1.11951,0,0.000544625,0.000544625,0.000544625
59,217.027,0.86999,1.56905,1.72139,0.97626,0,0.84311,0.22549,0.29229,0.18505,0.84311,0.22549,0.27674,0.18114,1.04195,1.67682,2.46354,1.09557,0,0.00053225,0.00053225,0.00053225
60,219.977,0.96583,1.65628,1.73383,1.0382,0,0.83781,0.2402,0.31066,0.19798,0.83781,0.2402,0.2917,0.19327,1.06706,1.70483,2.44815,1.09543,0,0.000519875,0.000519875,0.000519875
61,224.585,0.83026,1.55475,1.79021,0.96112,0,0.83781,0.2402,0.31066,0.19798,0.83781,0.2402,0.2917,0.19327,1.06706,1.70483,2.44815,1.09543,0,0.0005075,0.0005075,0.0005075
62,228.217,0.81318,1.44196,1.55313,0.94731,0,0.53744,0.26961,0.31318,0.20435,0.53744,0.26961,0.29223,0.19266,1.14076,1.73962,2.38523,1.12414,0,0.000495125,0.000495125,0.000495125
63,231.56,0.79588,1.40029,1.54424,0.92513,0,0.50922,0.2549,0.32536,0.20485,0.50922,0.2549,0.3029,0.1996,1.1768,1.84829,2.29562,1.14402,0,0.00048275,0.00048275,0.00048275
64,234.753,0.8208,1.48267,1.4789,0.96179,0,0.50922,0.2549,0.32536,0.20485,0.50922,0.2549,0.3029,0.1996,1.1768,1.84829,2.29562,1.14402,0,0.000470375,0.000470375,0.000470375
65,239.094,0.89413,1.52315,1.56496,0.96027,0,0.77633,0.2549,0.318,0.20305,0.77633,0.2549,0.2988,0.18999,1.24413,1.88985,2.28276,1.17394,0,0.000458,0.000458,0.000458
66,242.41,0.84443,1.46496,2.13875,0.97216,0,0.77633,0.2549,0.318,0.20305,0.77633,0.2549,0.2988,0.18999,1.24413,1.88985,2.28276,1.17394,0,0.000445625,0.000445625,0.000445625
67,245.448,0.82081,1.48877,1.5934,0.96635,0,0.80017,0.22645,0.33737,0.21519,0.80017,0.22645,0.31188,0.19687,1.30841,1.92735,2.33495,1.21026,0,0.00043325,0.00043325,0.00043325
68,248.738,0.8417,1.43238,1.53361,0.95713,0,0.85052,0.2402,0.35866,0.22685,0.85052,0.2402,0.32827,0.20736,1.31082,2.00826,2.41659,1.21606,0,0.000420875,0.000420875,0.000420875
69,252.925,0.91543,1.57638,1.66902,0.97969,0,0.85052,0.2402,0.35866,0.22685,0.85052,0.2402,0.32827,0.20736,1.31082,2.00826,2.41659,1.21606,0,0.0004085,0.0004085,0.0004085
70,256.707,0.77368,1.28414,1.52166,0.92665,0,0.8402,0.2402,0.35949,0.22588,0.8402,0.2402,0.31851,0.21136,1.25154,1.95837,2.33119,1.18812,0,0.000396125,0.000396125,0.000396125
