epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,91.6902,1.10298,1.87111,1.87179,0.99037,0,0.79215,0.09804,0.24599,0.13326,0.79215,0.09804,0.17588,0.09492,1.52942,3.16917,3.60709,1.22583,0,0.000755,0.000755,0.000755
42,93.358,1.15098,1.87718,1.72861,0.98449,0,0.85092,0.1048,0.26361,0.13956,0.85092,0.1048,0.20984,0.12584,1.56861,3.08256,3.47155,1.22954,0,0.000742625,0.000742625,0.000742625
43,95.4081,1.08548,1.94487,1.66122,0.97482,0,0.81354,0.11275,0.23632,0.14933,0.81354,0.11275,0.22177,0.14555,1.53446,2.90754,3.33956,1.2109,0,0.00073025,0.00073025,0.00073025
44,98.2334,1.0554,1.71466,1.91616,0.98001,0,0.88618,0.17129,0.26861,0.16356,0.88618,0.17129,0.25591,0.16336,1.44996,2.74325,3.14168,1.16612,0,0.000717875,0.000717875,0.000717875
45,100.141,1.03391,1.72549,1.48798,0.94882,0,0.88618,0.17129,0.26861,0.16356,0.88618,0.17129,0.25591,0.16336,1.44996,2.74325,3.14168,1.16612,0,0.0007055,0.0007055,0.0007055
46,101.643,1.03614,1.69794,1.48177,0.99715,0,0.88329,0.21078,0.2897,0.17345,0.88329,0.21078,0.28063,0.18219,1.39179,2.81438,2.91929,1.13637,0,0.000693125,0.000693125,0.000693125
47,103.34,1.0788,1.66028,1.98031,0.98927,0,0.65068,0.2549,0.29108,0.1584,0.65068,0.2549,0.285,0.17334,1.40041,2.91611,2.91389,1.1186,0,0.00068075,0.00068075,0.00068075
48,105.097,0.97448,1.67724,1.58592,0.95135,0,0.56884,0.14216,0.26002,0.1293,0.56884,0.14216,0.25055,0.14946,1.44732,2.85076,3.0982,1.12783,0,0.000668375,0.000668375,0.000668375
49,106.765,1.08034,1.76126,1.60244,0.96423,0,0.56884,0.14216,0.26002,0.1293,0.56884,0.14216,0.25055,0.14946,1.44732,2.85076,3.0982,1.12783,0,0.000656,0.000656,0.000656
50,108.477,0.9911,1.62186,1.59791,0.95339,0,0.90476,0.1233,0.20773,0.1114,0.90476,0.1233,0.19783,0.11686,1.47595,2.83904,3.2294,1.15955,0,0.000643625,0.000643625,0.000643625
51,111.174,1.05715,1.76157,1.54666,0.97971,0,0.90582,0.08333,0.18249,0.08575,0.90582,0.08333,0.17329,0.08015,1.40158,2.82031,3.33814,1.16326,0,0.00063125,0.00063125,0.00063125
52,113.834,1.05772,2.01521,1.71377,0.96552,0,0.68671,0.086,0.17392,0.0845,0.68671,0.086,0.16622,0.07873,1.4017,2.96347,3.34224,1.19687,0,0.000618875,0.000618875,0.000618875
53,115.489,1.05873,1.74956,1.55897,0.96398,0,0.68671,0.086,0.17392,0.0845,0.68671,0.086,0.16622,0.07873,1.4017,2.96347,3.34224,1.19687,0,0.0006065,0.0006065,0.0006065
54,117.047,1.03735,1.64047,1.5503,0.95581,0,0.83566,0.11275,0.16378,0.07519,0.83566,0.11275,0.1586,0.07379,1.44104,2.79794,3.22632,1.22188,0,0.000594125,0.000594125,0.000594125
55,118.623,0.94316,1.59677,1.45677,0.93324,0,0.85224,0.10918,0.16885,0.07936,0.85224,0.10918,0.16231,0.07837,1.3806,2.66456,2.99989,1.18686,0,0.00058175,0.00058175,0.00058175
56,120.286,0.96798,1.59121,1.48114,0.94414,0,0.82383,0.10906,0.17094,0.09248,0.82383,0.10906,0.16104,0.0864,1.35771,2.82,3.00585,1.19459,0,0.000569375,0.000569375,0.000569375
57,122.022,1.04094,1.81919,1.65905,0.97992,0,0.82383,0.10906,0.17094,0.09248,0.82383,0.10906,0.16104,0.0864,1.35771,2.82,3.00585,1.19459,0,0.000557,0.000557,0.000557
58,123.47,0.91224,1.55384,1.41044,0.93838,0,0.88948,0.09804,0.15958,0.08454,0.88948,0.09804,0.14802,0.08496,1.32601,2.79244,3.11063,1.21846,0,0.000544625,0.000544625,0.000544625
59,125.852,0.92583,1.509,1.37835,0.95276,0,0.85818,0.09804,0.19368,0.11084,0.85818,0.09804,0.17631,0.1049,1.33478,2.66205,3.11882,1.21998,0,0.00053225,0.00053225,0.00053225
60,128.603,0.9398,1.60654,1.39217,0.93202,0,0.72549,0.11275,0.24634,0.13755,0.73063,0.11275,0.22557,0.12481,1.32635,2.78678,3.05637,1.21626,0,0.000519875,0.000519875,0.000519875
61,130.418,0.96395,1.47275,1.39321,0.93655,0,0.72549,0.11275,0.24634,0.13755,0.73063,0.11275,0.22557,0.12481,1.32635,2.78678,3.05637,1.21626,0,0.0005075,0.0005075,0.0005075
62,132.018,0.92045,1.53546,1.34577,0.92122,0,0.72844,0.12745,0.26917,0.14498,0.72844,0.12745,0.24506,0.11985,1.34887,2.81435,2.98682,1.2195,0,0.000495125,0.000495125,0.000495125
63,134.37,0.95598,1.47933,1.43708,0.93416,0,0.73268,0.11275,0.26777,0.14957,0.73609,0.11275,0.23086,0.12262,1.339,2.85597,3.04807,1.20764,0,0.00048275,0.00048275,0.00048275
64,136.007,0.9547,1.57026,1.40624,0.92921,0,0.76809,0.11275,0.24195,0.13593,0.76809,0.11275,0.20422,0.10811,1.35268,2.93621,3.10366,1.19242,0,0.000470375,0.000470375,0.000470375
65,137.742,0.87918,1.4412,1.31346,0.91121,0,0.76809,0.11275,0.24195,0.13593,0.76809,0.11275,0.20422,0.10811,1.35268,2.93621,3.10366,1.19242,0,0.000458,0.000458,0.000458
66,140.21,0.91369,1.43242,1.37353,0.91928,0,0.72922,0.11275,0.2559,0.14274,0.72922,0.11275,0.21942,0.11742,1.34504,3.13184,3.09091,1.18107,0,0.000445625,0.000445625,0.000445625
67,142.916,0.87774,1.4273,1.3152,0.93774,0,0.72582,0.14216,0.27507,0.15849,0.94536,0.12745,0.24826,0.12862,1.33708,3.09345,2.93539,1.16746,0,0.00043325,0.00043325,0.00043325
68,144.984,0.92038,1.47124,1.30153,0.93155,0,0.44558,0.17157,0.28134,0.14999,0.8395,0.12745,0.251,0.12973,1.31026,3.18837,2.74451,1.15665,0,0.000420875,0.000420875,0.000420875
69,146.722,0.92433,1.58185,1.27409,0.94477,0,0.44558,0.17157,0.28134,0.14999,0.8395,0.12745,0.251,0.12973,1.31026,3.18837,2.74451,1.15665,0,0.0004085,0.0004085,0.0004085
70,148.35,0.89855,1.44971,1.32175,0.89987,0,0.41915,0.17157,0.26803,0.13952,0.79059,0.12745,0.23935,0.10764,1.28843,3.04432,2.69382,1.15594,0,0.000396125,0.000396125,0.000396125
71,149.893,0.95196,1.53419,1.35822,0.92576,0,0.66733,0.19519,0.2498,0.12661,0.66719,0.19256,0.22772,0.10028,1.29828,2.91507,2.7224,1.16019,0,0.00038375,0.00038375,0.00038375
72,151.642,0.90267,1.40275,1.22193,0.93566,0,0.6729,0.22673,0.25251,0.1279,0.6729,0.22673,0.23877,0.10421,1.28758,2.88439,2.81155,1.15193,0,0.000371375,0.000371375,0.000371375
73,153.314,0.87118,1.35335,1.32307,0.90741,0,0.6729,0.22673,0.25251,0.1279,0.6729,0.22673,0.23877,0.10421,1.28758,2.88439,2.81155,1.15193,0,0.000359,0.000359,0.000359
74,155.317,0.99543,1.7641,1.37885,0.94507,0,0.7109,0.21078,0.26507,0.13208,0.7109,0.21078,0.23579,0.1018,1.29227,2.95479,2.91541,1.15327,0,0.000346625,0.000346625,0.000346625
75,158.094,0.85652,1.42294,1.15634,0.91187,0,0.69129,0.19383,0.27326,0.14376,0.69129,0.19383,0.24034,0.10785,1.31099,3.08211,2.94284,1.16024,0,0.00033425,0.00033425,0.00033425
76,160.132,0.91447,1.50147,1.25993,0.90472,0,0.67615,0.19608,0.27092,0.14252,0.67615,0.19608,0.23926,0.10584,1.31319,3.18056,2.94865,1.17318,0,0.000321875,0.000321875,0.000321875
77,161.744,0.8621,1.54534,1.16911,0.91134,0,0.67615,0.19608,0.27092,0.14252,0.67615,0.19608,0.23926,0.10584,1.31319,3.18056,2.94865,1.17318,0,0.0003095,0.0003095,0.0003095
78,163.446,0.84417,1.35751,1.15533,0.92132,0,0.7346,0.22549,0.25782,0.12412,0.7346,0.22549,0.23609,0.10801,1.3322,3.10781,2.81243,1.17716,0,0.000297125,0.000297125,0.000297125
79,165.081,0.9128,1.54338,1.3459,0.91423,0,0.17495,0.22738,0.24032,0.11393,0.16771,0.21149,0.22314,0.10242,1.33949,3.08019,2.75171,1.18547,0,0.00028475,0.00028475,0.00028475
80,166.768,0.82845,1.33926,1.0802,0.9041,0,0.74049,0.14216,0.21011,0.09537,0.74049,0.14216,0.20195,0.09519,1.35035,3.06327,2.70994,1.18272,0,0.000272375,0.000272375,0.000272375
81,168.438,0.80501,1.28978,1.12825,0.90227,0,0.74049,0.14216,0.21011,0.09537,0.74049,0.14216,0.20195,0.09519,1.35035,3.06327,2.70994,1.18272,0,0.00026,0.00026,0.00026
82,170.791,0.82799,1.34965,1.1635,0.89613,0,0.72565,0.12745,0.20419,0.09318,0.72565,0.12745,0.19827,0.09381,1.35514,3.04402,2.75926,1.19542,0,0.000247625,0.000247625,0.000247625
83,173.441,0.86814,1.40722,1.2434,0.92049,0,0.45129,0.13245,0.19581,0.08845,0.45129,0.13245,0.19081,0.08779,1.3827,2.91137,2.87311,1.21195,0,0.00023525,0.00023525,0.00023525
84,175.435,0.87843,1.51626,1.19767,0.93186,0,0.20898,0.12745,0.19372,0.09426,0.20898,0.12745,0.18744,0.08462,1.39725,2.91996,2.9275,1.21006,0,0.000222875,0.000222875,0.000222875
85,177.02,0.79154,1.30438,1.08234,0.9056,0,0.20898,0.12745,0.19372,0.09426,0.20898,0.12745,0.18744,0.08462,1.39725,2.91996,2.9275,1.21006,0,0.0002105,0.0002105,0.0002105
86,178.58,0.81175,1.41908,1.31403,0.92483,0,0.47949,0.13893,0.19791,0.08796,0.47949,0.13893,0.19147,0.08522,1.40182,2.94074,2.89181,1.20647,0,0.000198125,0.000198125,0.000198125
